No;Tahun;Kabupaten/Kota;Provinsi;Y;X;Luas_Penanaman;Luas Penanaman (m2);Jumlah_Med;JENIS MEDIA;JUMLAH MEDIA;BIBIT;JUMLAH BIBIT;REMARKS
1;2016;Kabupaten Belitung;Bangka Belitung;-2.511813;107.66163;216;216;50 Meja besi;RAK BETON;50; 700 fragmen karang;700;
2;2016;Kabupaten Bangka;Bangka Belitung;-1.5945;106.0366;9;9;60 Meja beton;RAK BETON;60; 840 fragmen karang;840;
3;2016;Kabupaten Lombok Utara;Nusa Tenggara Barat;-8.3882;116.0641;200;200;60 Beton pyramid;ARTIFICIAL PATCH REEF;60; 840 fragmen karang;840;
4;2016;Kepulauan Seribu;DKI Jakarta;-5.7579;106.6168;200;200;60 Meja beton;RAK BETON;60; 540 fragmen karang;540;
5;2016;Kota Ambon;Maluku;-3.7259;128.1266;60;60;60 Meja beton;RAK BETON;60; 540 fragmen karang;540;
6;2016;Kota Ternate;Maluku Utara;0.8599;127.3156;60;60;60 Meja beton;RAK BETON;60; 840 fragmen karang;840;
7;2016;Kota Palu;Sulawesi Tengah;0.7004;119.7774;200;200;60 Meja beton;RAK BETON;60; 540 fragmen karang;540;
8;2016;Kota Bitung;Sulawesi Utara;1.4749;125.2897;200;200;60 Meja beton;RAK BETON;60; 854 fragmen karang;854;
9;2017;Kabupaten Pesawaran;Lampung;-5.6789;105.2369;100;100;Meja Beton;RAK BETON;30;;1440;DATA JUMLAH MEDIA DAN JUMLAH BIBIT ESTIMASI
10;2017;Kota Palu;Sulawesi Tengah;0.7004;119.7774;400;400;100 Meja rak beton;RAK BETON;100; 1.000 fragmen karang;1000;
11;2018;Kabupaten Manggarai Barat;Nusa Tenggara Timur;-8.568;119.7159;900;900;Meja Rak Beton;RAK BETON;170;;8160;DATA JUMLAH MEDIA DAN JUMLAH BIBIT ESTIMASI
12;2018;Kabupaten Bone Bolango;Gorontalo;0.4194;123.1038;1300;1300;250 Meja Rak beton;RAK BETON;250;;12000;DATA JUMLAH BIBIT ESTIMASI
13;2018;Kota Makassar;Sulawesi Selatan;-5.0358;119.3558;1300;1300;550 spider;WEB SPIDER;550; 12.000 fragmen karang;12000;
14;2019;Kabupaten Wakatobi;Sulawesi Tenggara;-5.2704;123.5184;1480;1480;370 spider;WEB SPIDER;370; 7.920 fragmen karang;7920;
15;2019;Kabupaten Lombok Tengah;Nusa Tenggara Barat;-8.9225;116.3684;60;60;60 Meja Rak Beton;RAK BETON;60; 1.080 fragmen karang;1080;
16;2019;Kabupaten Jepara (Karimunjawa);Jawa Tengah;-5.8842;110.4904;38.4;38.4;12 Artificial Patch Reef;ARTIFICIAL PATCH REEF;12;1.920 fragmen karang;1920;
17;2020;Perairan Dusun Luk, Desa Sambik Bangkol, Kecamatan Gangga, Kabupaten Lombok Utara;Nusa Tenggara Barat;-8.28081;116.21939;559 m2;559;72 rak beton;RAK BETON;72;;3456;DATA JUMLAH BIBIT ESTIMASI
18;2020;Perairan Kota Banteng, Kabupaten Selayar;Sulawesi Selatan;-6.10561;120.43311;720 m2;720;150 web spider;WEB SPIDER;150;;1950;DATA JUMLAH BIBIT ESTIMASI
19;2020;Perairan pantai Kastela dan Desa Tobololo, Kota Ternate;Maluku Utara;0.76111;127.30639;520 m2;520;150 web spider;WEB SPIDER;150;;1950;DATA JUMLAH BIBIT ESTIMASI
20;2021;Perairan Desa Pengudang, Kecamatan Teluk Sebong, Kabupaten Bintan;Kepulauan Riau;1.17947;104.49911;476 m2;476;119 spider;WEB SPIDER;119;;1547;DATA JUMLAH BIBIT ESTIMASI
21;2021;Perairan Laut Maratua, Kabupaten Berau;Kalimantan Timur;2.18889;118.59969;384 m2;384;80 spider;WEB SPIDER;80;;1040;DATA JUMLAH BIBIT ESTIMASI
22;2021;Perairan Pantai Kastela, Kota Ternate;Maluku Utara;0.76111;127.30639;480 m2;480;120 spider;WEB SPIDER;120;;1560;DATA JUMLAH BIBIT ESTIMASI
23;2021;Perairan Dusun Eri, Desa Air Louw, Kecamatan Nusaniwe, Kota Ambon;Maluku;-3.7455;128.12936;540 m2;540;135 spider;WEB SPIDER;135;;1755;DATA JUMLAH BIBIT ESTIMASI
24;2022;Perairan Kabupaten Sampang, Madura;Jawa Timur;-7.20092;114.04619;420 m2;420;130 spider;WEB SPIDER;130;;1690;DATA JUMLAH BIBIT ESTIMASI
25;2022;Perairan Kota Makasar;Sulawesi Selatan;-5.037;119.27403;430 m2;430;127 spider;WEB SPIDER;127;;1651;DATA JUMLAH BIBIT ESTIMASI
26;2022;Perairan Kecamatan Maumere, Kabupaten Sikka;Nusa Tenggara Timur;-8.62425;122.29519;130 m2;130;130 spider;WEB SPIDER;130;;1690;DATA JUMLAH BIBIT ESTIMASI
27;2022;Perairan Kota Ternate;Maluku Utara;0.76111;127.30639;298 m2;298;90 spider;WEB SPIDER;90;;1170;DATA JUMLAH BIBIT ESTIMASI
28;2022;Perairan Kota Gorontalo;Gorontalo;0.44577;123.1227;540 m2;540;85 spider;WEB SPIDER;85;;1105;DATA JUMLAH BIBIT ESTIMASI
29;2023;Perairan Pulau Tikus, Kota Bengkulu;Bengkulu;-3.83222;102.17836;3.500 m2;3500;90 spider;WEB SPIDER;90;1040 Fragmen Karang;1040;
30;2023;Perairan Desa Obel – obel Kec. Sambelia Lombok Timur;Nusa Tenggara Barat;-8.25714;116.54213;2.992 m2;2992;140 spider;WEB SPIDER;140;;1820;DATA JUMLAH BIBIT ESTIMASI
31;2023;Perairan Kabupaten Pulau Morotai, Halmahera Utara;Maluku Utara;-2.00913;128.27786;430 m2;430;140 spider;WEB SPIDER;140;;1820;DATA JUMLAH BIBIT ESTIMASI
32;2023;Perairan Pulau Wangi - wangi, Kabupaten Wakatobi;Sulawesi tenggara;-5.26283;123.51759;14.206 m2;14206;100 spider;WEB SPIDER;100;;1300;DATA JUMLAH BIBIT ESTIMASI
33;2023;Perairan Kampung Sauwandarek, Distrik Meos Mansar, Raja Ampat (Aqua Blu);Papua Barat Daya;-0.59036;130.60231;100 m2;100;90 spider;WEB SPIDER;90;;1170;DATA JUMLAH BIBIT ESTIMASI
34;2023;Perairan Kelurahan Kepicut Kec. Sijuk Kab. Belitung;Kepulauan Bangka Belitung;-2.55472;107.65028;600 m2;600;360 spider;WEB SPIDER;360;;4680;DATA JUMLAH BIBIT ESTIMASI
35;2023;Perairan Desa Buku Limau, Kec. Manggar Kab. Belitung Timur;Kepulauan Bangka Belitung;-2.81306;108.40056;20.000 m2;20000;360 spider;WEB SPIDER;360;;4680;DATA JUMLAH BIBIT ESTIMASI
